"id","ts"
"81-Mccarthy-Ave,-Chicopee,-MA-01020","2026-06-21 16:30:25"
"632-South-St,-Holyoke,-MA-01040","2026-06-21 16:30:25"
"72-Chapin-Greene-Dr,-Unit-72,-Ludlow,-MA-01056","2026-06-21 16:30:25"
"98-Greenpoint-Cir,-Chicopee,-MA-01020","2026-06-21 16:30:25"
"353-Fuller-St,-Unit-45,-Ludlow,-MA-01056","2026-06-21 16:30:25"
"9-Owens-Pl,-Holyoke,-MA-01040","2026-06-21 16:30:25"
"27-Somerset-Rd,-Chicopee,-MA-01020","2026-06-21 16:30:25"
"125-Lynwood-Dr,-Unit-6201D,-Chicopee,-MA-01022","2026-06-21 16:30:25"
"33-Labrie-Ln,-Holyoke,-MA-01040","2026-06-21 16:30:25"
"27-Stebbins-St,-Ludlow,-MA-01056","2026-06-21 16:30:25"
"22-Fredette-St,-Unit-22,-Chicopee,-MA-01022","2026-06-21 16:30:25"
"37-Woodcrest-Ct,-Chicopee,-MA-01020","2026-06-21 16:30:25"
"58-Main-St,-Ste-3,-Hatfield,-MA-01038","2026-06-21 16:30:25"
"113-Pearl-St,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"125-Pearl-St,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"3-Elizabeth-Ln,-Unit-3,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"12-School-St,-Northampton,-MA-01060","2026-06-21 16:30:25"
"13-Elizabeth-Ln,-Unit-13,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"1-Elizabeth-Ln,-Unit-1,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"36-Torrey,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"723-Ryan-Rd,-Lot-B,-Northampton,-MA-01062","2026-06-21 16:30:25"
"42-Clark-St,-Northampton,-MA-01062","2026-06-21 16:30:25"
"5-Elizabeth-Ln,-Unit-5,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"5-Torrey-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"1-23-Eastern-Ave,-Northampton,-MA-01060","2026-06-21 16:30:25"
"283-South-St,-Northampton,-MA-01060","2026-06-21 16:30:25"
"26-Mt-Tom-Ave,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"277-River-Dr,-Hadley,-MA-01035","2026-06-21 16:30:25"
"365-Middle-St,-Amherst,-MA-01002","2026-06-21 16:30:25"
"136-Main-St,-Hatfield,-MA-01038","2026-06-21 16:30:25"
"17-Adams-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"79-Granby-Rd,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"64-66-Pleasant-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"80-Damon-Rd,-Apt-2303,-Northampton,-MA-01060","2026-06-21 16:30:25"
"138-West-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"35-New-South-St,-Apt-402,-Northampton,-MA-01060","2026-06-21 16:30:25"
"26-Gore-Ave,-Hatfield,-MA-01038","2026-06-21 16:30:25"
"19-East-St,-Unit-A,-Northampton,-MA-01060","2026-06-21 16:30:25"
"170-E-Hadley-Rd,-Apt-23,-Amherst,-MA-01002","2026-06-21 16:30:25"
"179-South-St,-Northampton,-MA-01060","2026-06-21 16:30:25"
"117-Alvord-Pl,-Unit-117,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"74-Parsons-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"351-Pleasant-St,-Apt-9,-Northampton,-MA-01060","2026-06-21 16:30:25"
"359-Main-St,-Unit-1B,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"30-Birch-Hill-Rd,-Northampton,-MA-01062","2026-06-21 16:30:25"
"9-Mill-Valley-Rd,-Hadley,-MA-01035","2026-06-21 16:30:25"
"Westhampton-Rd,-Northampton,-MA-01062","2026-06-21 16:30:25"
"12-Camelot-Ln,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"20-Bourbeau-St,-Chicopee,-MA-01020","2026-06-21 16:30:25"
"55-Meadowlark-Ln,-Unit-55,-Chicopee,-MA-01022","2026-06-21 16:30:25"
"12-Greenwood-Ct,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"22-Hannum-Mdws,-Unit-B,-Northampton,-MA-01060","2026-06-21 16:30:25"
"11-Hannum-Mdws,-Unit-A,-Northampton,-MA-01060","2026-06-21 16:30:25"
"35-Queen-Cir,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"22-Maine-Ave,-Unit-22,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"34-Leahey-Ave,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"481-Station-Rd,-Amherst,-MA-01002","2026-06-21 16:30:25"
"80-Damon-Rd,-Apt-8111,-Northampton,-MA-01060","2026-06-21 16:30:25"
"33-Landy-Ave,-Northampton,-MA-01062","2026-06-21 16:30:25"
"114-S-Main-St,-Northampton,-MA-01062","2026-06-21 16:30:25"
"13-Carillon-Cir,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"63-Dryads-Grn,-Northampton,-MA-01060","2026-06-21 16:30:25"
"55-South-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"5-Deer-Meadow-Way,-Unit-5,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"46-Pomeroy-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"669-Westhampton-Rd,-Northampton,-MA-01062","2026-06-21 16:30:25"
"14-Holyoke-St,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"Straits-Rd,-Hatfield,-MA-01038","2026-06-21 16:30:25"
"6-Valley-Ln,-Easthampton,-MA-01027","2026-06-21 16:30:25"
"1-Lexington-St,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"102-Lyman-St,-Unit-102,-South-Hadley,-MA-01075","2026-06-21 16:30:25"
"170-E-Hadley-Rd,-Apt-27,-Amherst,-MA-01002","2026-06-21 16:30:25"
"15-Tiffany-Ln,-Northampton,-MA-01062","2026-06-21 16:30:25"
"4-Elm-Ct,-Hatfield,-MA-01038","2026-06-21 16:30:25"
"192-South-St,-Northampton,-MA-01060","2026-06-21 16:30:25"
"310-South-St,-Northampton,-MA-01060","2026-06-21 16:30:25"
"351-Pleasant-St,-Apt-11,-Northampton,-MA-01060","2026-06-21 16:30:25"
"55-Gilbert-Rd,-Southampton,-MA-01073","2026-06-21 16:30:25"
"83-Crossbrook-Ave,-Unit-83,-Amherst,-MA-01002","2026-06-21 16:30:25"
"170-E-Hadley-Rd,-Apt-13,-Amherst,-MA-01002","2026-06-21 16:30:25"
"17-Florence-Rd,-Northampton,-MA-01062","2026-06-21 16:30:25"
"34-Savoy-Ave,-Springfield,-MA-01104","2026-06-21 16:30:25"
"14-Crane-St,-Springfield,-MA-01104","2026-06-21 16:30:25"
"14-16-Wolcott-St,-Springfield,-MA-01104","2026-06-21 16:30:25"
"42-Ringgold-St,-Springfield,-MA-01107","2026-06-21 16:30:25"
"127-Melha-Ave,-Springfield,-MA-01104","2026-06-21 16:30:25"
"827-831-Armory-St,-Springfield,-MA-01107","2026-06-21 16:30:25"
"21-Elmwood-Ave,-West-Springfield,-MA-01089","2026-06-21 16:30:25"
"16-Fair-Ln,-Westfield,-MA-01085","2026-06-21 16:30:25"
"33-35-Algonquin-Pl,-Springfield,-MA-01104","2026-06-21 16:30:25"
"26-Hebron-St,-Springfield,-MA-01107","2026-06-21 16:30:25"
"115-Connecticut-Ave,-Springfield,-MA-01104","2026-06-21 16:30:25"
"8-Emerald-Ave,-Westfield,-MA-01085","2026-06-21 16:30:25"
"83-Pineridge-Dr,-Westfield,-MA-01085","2026-06-21 16:30:25"
"128-130-Woodmont-St,-Springfield,-MA-01104","2026-06-21 16:30:25"
"30-Cara-Ln,-Westfield,-MA-01085","2026-06-21 16:30:25"
"31-Shaker-Rd,-Westfield,-MA-01085","2026-06-21 16:30:25"
"21-Fourth-Ave,-Westfield,-MA-01085","2026-06-21 16:30:25"
"732-Elm-St,-West-Springfield,-MA-01089","2026-06-21 16:30:25"
"540-Armory-St,-Springfield,-MA-01104","2026-06-21 16:30:25"
"95-Herrman-St,-West-Springfield,-MA-01089","2026-06-21 16:30:25"
"Fox-Hill-Rd,-Bernardston,-MA-01337","2026-06-21 16:30:25"
"4-Ladyslipper-Ln,-Hadley,-MA-01035","2026-06-21 16:30:25"
"79-State-Rd,-Whately,-MA-01093","2026-06-21 16:30:25"
"464-Main-Rd,-Gill,-MA-01354","2026-06-21 16:30:25"
"6-Duncan-Dr,-Unit-B,-Deerfield,-MA-01373","2026-06-21 16:30:25"
"47-Cross-St,-Bernardston,-MA-01337","2026-06-21 16:30:25"
"40-Newell-Pond-Rd,-Greenfield,-MA-01301","2026-06-21 16:30:25"
"16-Old-Long-Plain-Rd,-Leverett,-MA-01054","2026-06-21 16:30:25"
"85-Verde-Dr,-Greenfield,-MA-01301","2026-06-21 16:30:25"
"50-Elmwood-Ave,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"137-Carroll-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"228-Belmont-Ave,-Springfield,-MA-01108","2026-06-21 16:30:25"
"34-Sumner-Ave,-Apt-208,-Springfield,-MA-01108","2026-06-21 16:30:25"
"34-Sumner-Ave,-Apt-302,-Springfield,-MA-01108","2026-06-21 16:30:25"
"40-Better-Way,-Springfield,-MA-01119","2026-06-21 16:30:25"
"38-Manchester-Ter,-Springfield,-MA-01108","2026-06-21 16:30:25"
"16-Pioneer-Way,-Springfield,-MA-01119","2026-06-21 16:30:25"
"270-Maple-St,-Springfield,-MA-01105","2026-06-21 16:30:25"
"120-122-E-Alvord-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"1030-Worthington-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"34-Sumner-Ave,-Apt-301,-Springfield,-MA-01108","2026-06-21 16:30:25"
"80-Yorktown-Dr,-Unit-80,-Springfield,-MA-01108","2026-06-21 16:30:25"
"34-Sumner-Ave,-Apt-411,-Springfield,-MA-01108","2026-06-21 16:30:25"
"16-Mobile-Home-Way,-Springfield,-MA-01119","2026-06-21 16:30:25"
"27-Chester-St,-Springfield,-MA-01105","2026-06-21 16:30:25"
"235-State-St,-Apt-111,-Springfield,-MA-01103","2026-06-21 16:30:25"
"236-240-Locust-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"974-Wilbraham-Rd,-Springfield,-MA-01109","2026-06-21 16:30:25"
"2163-Wilbraham-Rd,-Springfield,-MA-01129","2026-06-21 16:30:25"
"34-Sumner-Ave,-Apt-210,-Springfield,-MA-01108","2026-06-21 16:30:25"
"11-Lamplighter-Ln,-Springfield,-MA-01119","2026-06-21 16:30:25"
"157-Penrose-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"32-Randall-Pl,-Springfield,-MA-01108","2026-06-21 16:30:25"
"227-Forest-Park-Ave,-Springfield,-MA-01108","2026-06-21 16:30:25"
"105-Overlook-Dr,-Springfield,-MA-01118","2026-06-21 16:30:25"
"58-Appleton-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"147-Belvidere-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"199-Eastern-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"123-Englewood-Rd,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"746-748-Alden-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"115-Jamestown-Dr,-Unit-115,-Springfield,-MA-01108","2026-06-21 16:30:25"
"186-Tanglewood-Dr,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"192-Gardens-Dr,-Springfield,-MA-01119","2026-06-21 16:30:25"
"288-Regency-Park-Dr,-Unit-288,-Agawam,-MA-01001","2026-06-21 16:30:25"
"46-48-Kent-Rd,-Springfield,-MA-01129","2026-06-21 16:30:25"
"153-Western-Dr,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"146-Bellevue-Ave,-Springfield,-MA-01108","2026-06-21 16:30:25"
"31-Buena-Vista-Plz,-Springfield,-MA-01108","2026-06-21 16:30:25"
"48-Madison-Ave,-Springfield,-MA-01105","2026-06-21 16:30:25"
"139-Tiffany-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"460-Soule-Rd,-Wilbraham,-MA-01095","2026-06-21 16:30:25"
"20-Crosby-St,-Springfield,-MA-01105","2026-06-21 16:30:25"
"63-Hope-St,-Springfield,-MA-01119","2026-06-21 16:30:25"
"151-Bowdoin-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"101-Mulberry-St,-Apt-314,-Springfield,-MA-01105","2026-06-21 16:30:25"
"19-21-Wedgewood-Cir,-Springfield,-MA-01129","2026-06-21 16:30:25"
"288-Saint-James-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"679-Parker-St,-Springfield,-MA-01129","2026-06-21 16:30:25"
"27-Mattoon-St,-Springfield,-MA-01105","2026-06-21 16:30:25"
"238-Sumner-Ave,-Springfield,-MA-01108","2026-06-21 16:30:25"
"42-Hall-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"272-Regency-Park-Dr,-Unit-272,-Agawam,-MA-01001","2026-06-21 16:30:25"
"40-Aldrew-Ter,-Springfield,-MA-01119","2026-06-21 16:30:25"
"37-Parkerview-St,-Springfield,-MA-01129","2026-06-21 16:30:25"
"111-Magnolia-Ter,-Springfield,-MA-01108","2026-06-21 16:30:25"
"168-Keddy-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"234-Draper-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"2-Christopher-Cir,-Wilbraham,-MA-01095","2026-06-21 16:30:25"
"117-Beekman-Dr,-Unit-117,-Agawam,-MA-01001","2026-06-21 16:30:25"
"22-Contessa-Dr,-Springfield,-MA-01119","2026-06-21 16:30:25"
"16-Fenimore-Blvd,-Springfield,-MA-01108","2026-06-21 16:30:25"
"53-Corey-Colonial,-Unit-53,-Agawam,-MA-01001","2026-06-21 16:30:25"
"747-N-Branch-Pkwy,-Springfield,-MA-01119","2026-06-21 16:30:25"
"147-Parkerview-St,-Springfield,-MA-01129","2026-06-21 16:30:25"
"164-Arnold-Ave,-Springfield,-MA-01119","2026-06-21 16:30:25"
"865-Wilbraham-Rd,-Springfield,-MA-01109","2026-06-21 16:30:25"
"50-Bellevue-Ave,-Springfield,-MA-01108","2026-06-21 16:30:25"
"40-Yorktown-Dr,-Apt-D,-Springfield,-MA-01108","2026-06-21 16:30:25"
"83-Druid-Hill-Rd,-Springfield,-MA-01129","2026-06-21 16:30:25"
"91-Spikenard-Cir,-Springfield,-MA-01129","2026-06-21 16:30:25"
"725-Bay-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"69-Manhattan-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"59-61-Carlisle-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"101-Mulberry-St,-Apt-113,-Springfield,-MA-01105","2026-06-21 16:30:25"
"26-Grandview-St,-Springfield,-MA-01118","2026-06-21 16:30:25"
"35-37-Pine-St-Ct,-Springfield,-MA-01105","2026-06-21 16:30:25"
"59-Jamestown-Dr,-Unit-59,-Springfield,-MA-01108","2026-06-21 16:30:25"
"153-Edgewood-Ave,-Longmeadow,-MA-01106","2026-06-21 16:30:25"
"9-Woodcliff-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"106-Suffolk-St,-Springfield,-MA-01109","2026-06-21 16:30:25"
"46-Rochford-Cir,-Springfield,-MA-01128","2026-06-21 16:30:25"
"15-Monticello-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"73-Regency-Park-Dr,-Unit-73,-Agawam,-MA-01001","2026-06-21 16:30:25"
"38-Oxford-St,-Springfield,-MA-01108","2026-06-21 16:30:25"
"881-Roosevelt-Ave,-Springfield,-MA-01109","2026-06-21 16:30:25"
"232-Almira-Rd,-Springfield,-MA-01119","2026-06-21 16:30:25"
"282-Regency-Park-Dr,-Unit-282,-Agawam,-MA-01001","2026-06-21 16:30:25"
